2025-12-03 13:54:41,993 | INFO     | werkzeug | [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5000
 * Running on http://192.168.1.83:5000
2025-12-03 13:54:41,993 | INFO     | werkzeug | [33mPress CTRL+C to quit[0m
2025-12-03 13:54:41,995 | INFO     | werkzeug |  * Restarting with stat
2025-12-03 13:54:47,301 | WARNING  | werkzeug |  * Debugger is active!
2025-12-03 13:54:47,312 | INFO     | werkzeug |  * Debugger PIN: 561-744-759
2025-12-03 13:54:48,078 | INFO     | werkzeug | 127.0.0.1 - - [03/Dec/2025 13:54:48] "GET /check_update HTTP/1.1" 200 -
2025-12-03 13:54:54,514 | INFO     | werkzeug | 127.0.0.1 - - [03/Dec/2025 13:54:54] "GET /list_pool HTTP/1.1" 200 -
2025-12-03 13:54:54,669 | INFO     | werkzeug | 127.0.0.1 - - [03/Dec/2025 13:54:54] "GET /static/css/style.css HTTP/1.1" 200 -
2025-12-03 13:54:54,733 | INFO     | werkzeug | 127.0.0.1 - - [03/Dec/2025 13:54:54] "GET /static/css/pool_ranges.css HTTP/1.1" 200 -
2025-12-03 13:54:54,787 | INFO     | werkzeug | 127.0.0.1 - - [03/Dec/2025 13:54:54] "GET /static/css/transaction_style.css HTTP/1.1" 200 -
2025-12-03 13:54:54,810 | INFO     | werkzeug | 127.0.0.1 - - [03/Dec/2025 13:54:54] "GET /static/css/mint_position.css HTTP/1.1" 200 -
2025-12-03 13:54:54,818 | INFO     | werkzeug | 127.0.0.1 - - [03/Dec/2025 13:54:54] "GET /static/css/wallet_connect.css HTTP/1.1" 200 -
2025-12-03 13:54:56,072 | INFO     | werkzeug | 127.0.0.1 - - [03/Dec/2025 13:54:56] "GET /static/js/wallet_connect.js HTTP/1.1" 200 -
2025-12-03 13:54:56,694 | INFO     | werkzeug | 127.0.0.1 - - [03/Dec/2025 13:54:56] "GET /static/images/favicon.png HTTP/1.1" 200 -
2025-12-03 13:54:57,434 | INFO     | werkzeug | 127.0.0.1 - - [03/Dec/2025 13:54:57] "[36mGET /static/images/favicon.png HTTP/1.1[0m" 304 -
2025-12-03 13:55:09,484 | INFO     | werkzeug | 127.0.0.1 - - [03/Dec/2025 13:55:09] "GET /check_update HTTP/1.1" 200 -
2025-12-03 13:55:24,482 | INFO     | werkzeug | 127.0.0.1 - - [03/Dec/2025 13:55:24] "GET /check_update HTTP/1.1" 200 -
2025-12-03 13:55:56,611 | INFO     | werkzeug | 127.0.0.1 - - [03/Dec/2025 13:55:56] "GET /check_update HTTP/1.1" 200 -
2025-12-03 13:56:09,487 | INFO     | werkzeug | 127.0.0.1 - - [03/Dec/2025 13:56:09] "GET /check_update HTTP/1.1" 200 -
2025-12-03 13:56:24,500 | INFO     | werkzeug | 127.0.0.1 - - [03/Dec/2025 13:56:24] "GET /check_update HTTP/1.1" 200 -
2025-12-03 13:56:57,488 | INFO     | werkzeug | 127.0.0.1 - - [03/Dec/2025 13:56:57] "GET /check_update HTTP/1.1" 200 -
2025-12-03 13:57:09,485 | INFO     | werkzeug | 127.0.0.1 - - [03/Dec/2025 13:57:09] "GET /check_update HTTP/1.1" 200 -
2025-12-03 13:57:24,472 | INFO     | werkzeug | 127.0.0.1 - - [03/Dec/2025 13:57:24] "GET /check_update HTTP/1.1" 200 -
2025-12-03 13:57:57,475 | INFO     | werkzeug | 127.0.0.1 - - [03/Dec/2025 13:57:57] "GET /check_update HTTP/1.1" 200 -
2025-12-03 13:58:09,481 | INFO     | werkzeug | 127.0.0.1 - - [03/Dec/2025 13:58:09] "GET /check_update HTTP/1.1" 200 -
2025-12-03 13:58:24,486 | INFO     | werkzeug | 127.0.0.1 - - [03/Dec/2025 13:58:24] "GET /check_update HTTP/1.1" 200 -
2025-12-03 13:58:54,056 | INFO     | werkzeug | 45.156.129.78 - - [03/Dec/2025 13:58:54] "[31m[1mGET / HTTP/1.1[0m" 401 -
2025-12-03 13:58:55,197 | INFO     | werkzeug | 45.156.129.77 - - [03/Dec/2025 13:58:55] "[31m[1mGET /favicon.ico HTTP/1.1[0m" 401 -
2025-12-03 13:58:57,484 | INFO     | werkzeug | 127.0.0.1 - - [03/Dec/2025 13:58:57] "GET /check_update HTTP/1.1" 200 -
2025-12-03 13:59:09,325 | INFO     | werkzeug | 127.0.0.1 - - [03/Dec/2025 13:59:09] "GET /check_update HTTP/1.1" 200 -
2025-12-03 13:59:24,492 | INFO     | werkzeug | 127.0.0.1 - - [03/Dec/2025 13:59:24] "GET /check_update HTTP/1.1" 200 -
2025-12-03 13:59:57,473 | INFO     | werkzeug | 127.0.0.1 - - [03/Dec/2025 13:59:57] "GET /check_update HTTP/1.1" 200 -
